22/09/2023 15:40 ES
codigo,patente,tipo_vehiculo,forma_pago,pais_cabina,distancia
861043680,RCO0099,0,2,3,170
968253927,CS201SY,1,1,1,20
852821795,GV550XC,0,1,4,240
992375997,1994ZBT,2,2,2,230
370299409,QCZ1Y04,0,1,2,270
634392212,ALY7391,0,1,0,480
224468981,UEJM458,0,1,3,150
496530523,6320PDL,0,2,2,440
630512472,0255ETB,1,1,1,380
523504671,VRO2448,0,2,3,300
616233826,FH002CA,0,2,2,300
30749325,MQ60357,0,2,1,320
770923729,AKRY91,0,2,0,240
19975417,AVI0201,1,2,0,330
81680680,XN137KP,2,2,1,160
896794772,0022ICQ,1,2,4,170
758626618,EIU7Z26,2,1,3,290
883242904,WV14359,0,1,1,160
55746734,JR01533,1,2,3,460
166678693,RDME503,1,1,4,240
164571415,KUUA17,2,1,0,340
174964229,7020HJM,1,2,1,50
214135223,LNAL00,0,1,2,320
949734908,UY451WL,2,1,2,30
14675174,PD06002,1,2,1,230
246646226,AFW2630,2,2,4,20
574547606,HZH7X69,0,1,2,20
152175398,HQBS757,0,1,3,140
152175398,HQBS757,0,1,3,999
887035904,OTQZ40,0,2,1,40
62708483,QGPL524,0,1,4,170
14296247,MEKF263,2,2,0,400
302144047,SWY4502,2,2,1,110
29701280,4504ERP,1,2,3,110
920471892,OMBC951,1,1,1,430
418968674,FUUD878,2,2,1,20
316515557,UG99970,2,2,4,90
190837289,UJCP297,1,2,0,440
76529099,OPIF39,0,1,3,160
581305805,4009DYU,1,2,2,140
575480365,CPV5800,2,2,4,490
178257869,2572BDU,1,2,3,130
309424209,SPHK944,0,1,4,430
564595312,MOVQ004,0,1,4,140
540469092,TCL9528,2,1,1,330
335898899,OFL0T64,2,1,3,0
637054144,9000BMV,0,1,2,40
607240586,FP05048,0,2,0,160
835029873,UMC1026,0,1,0,480
782191890,VM83690,0,1,0,160
622645472,MWK4531,2,1,0,360
919233906,0707CPP,0,1,2,260
562678683,0458IYT,2,1,2,100
195669534,BRGB979,2,2,4,80
417379612,IW784KP,0,1,3,420
621213217,QH62514,0,1,2,60
335370838,LWB3190,0,1,2,430
709912622,LT22040,0,2,1,80
82311535,OEKU27,1,2,1,460
887982560,YXJ0640,1,1,0,490
634526820,FYTU195,2,1,1,210
631124956,EWF0626,2,1,4,370
417322857,LQUE54,0,1,2,300
852208013,BE26420,0,2,1,310
424553124,SJD1203,1,2,0,60
839021279,RZ64087,2,1,0,160
245376904,JKZ1709,0,1,0,200
864381148,PPEW021,2,2,0,270
357191974,PT453ED,0,1,0,380
